"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Country","Nationality_plural","Q_TotalDuration","Nationality_plural_n","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO","country"
"11","2022-09-14 16:54:28","2022-09-14 16:58:40",0,100,252,1,"2022-09-14 16:58:40","anonymous","DE",1,1,47,1,1,1,10,10,1,"1|2|3|4|5",70,25,3,2,0,"1|2|3|4|5",2,"1|2|3|4|5",50,30,20,0,0,"1|2|3|4|5",7,40,60,"1|2",3,50,50,"1|2",3,4,2,6,6,1,"Deutsche/r","Deutschland","Deutsche",252,"Deutschen","Complete","40-49",1,1,"Control","Pass","FL_63","Control","Germany"
"12","2022-09-14 17:28:29","2022-09-14 17:36:35",0,100,485,1,"2022-09-14 17:36:37","anonymous","DE",1,1,75,1,1,1,7,5,2,"4|3|2|1|5",0,56,25,19,0,"4|3|2|1|5",2,"4|3|2|1|5",18,43,20,19,0,"4|3|2|1|5",5,0,100,"2|1",3,30,70,"2|1",2,5,2,6,3,1,"Deutsche/r","Deutschland","Deutsche",485,"Deutschen","Complete","60+",1,0,"Control","Pass","FL_76","Control","Germany"
"13","2022-09-14 17:38:50","2022-09-14 17:43:14",0,100,263,1,"2022-09-14 17:43:14","anonymous","DE",1,1,48,1,1,1,9,8,2,"1|2|3|4|5",38,41,11,0,10,"1|2|3|4|5",1,"1|2|3|4|5",88,0,0,0,12,"1|2|3|4|5",6,71,29,"1|2",2,64,36,"1|2",1,2,2,4,7,2,"Deutsche/r","Deutschland","Deutsche",263,"Deutschen","Complete","40-49",0,1,"Intervention","Pass","FL_64","Intervention","Germany"
"14","2022-09-14 17:42:00","2022-09-14 17:45:30",0,100,209,1,"2022-09-14 17:45:30","anonymous","DE",0.899999976158142,1,34,0,1,1,10,2,1,"4|3|2|1|5",100,0,0,0,0,"4|3|2|1|5",5,"4|3|2|1|5",0,31,20,45,4,"4|3|2|1|5",2,70,30,"2|1",3,100,0,"2|1",2,2,2,3,2,2,"Deutsche/r","Deutschland","Deutsche",209,"Deutschen","Complete","30-39",0,0,"Control","Pass","FL_88","Control","Germany"
"15","2022-09-14 17:43:13","2022-09-14 17:47:12",0,100,239,1,"2022-09-14 17:47:12","anonymous","DE",0.699999988079071,1,39,0,1,1,10,10,1,"4|3|2|1|5",10,23,23,25,19,"4|3|2|1|5",1,"4|3|2|1|5",41,7,17,9,26,"4|3|2|1|5",5,74,26,"2|1",2,74,26,"2|1",2,4,2,6,6,1,"Deutsche/r","Deutschland","Deutsche",239,"Deutschen","Complete","30-39",1,1,"Intervention","Pass","FL_63","Intervention","Germany"
"16","2022-09-14 18:56:13","2022-09-14 19:02:11",0,100,358,1,"2022-09-14 19:02:11","anonymous","DE",0.899999976158142,1,27,1,1,1,7,7,1,"4|3|2|1|5",47,24,15,7,7,"4|3|2|1|5",1,"4|3|2|1|5",41,15,8,4,32,"4|3|2|1|5",7,31,69,"2|1",3,39,61,"2|1",4,4,2,4,2,1,"Deutsche/r","Deutschland","Deutsche",358,"Deutschen","Complete","18-29",0,0,"Intervention","Pass","FL_88","Intervention","Germany"
"17","2022-09-14 18:54:58","2022-09-14 19:09:24",0,100,866,1,"2022-09-14 19:09:24","anonymous","DE",0.899999976158142,1,65,0,1,1,10,10,2,"4|3|2|1|5",10,30,20,10,30,"4|3|2|1|5",2,"4|3|2|1|5",10,30,30,10,20,"4|3|2|1|5",3,50,50,"2|1",3,20,80,"2|1",3,3,2,3,7,2,"Deutsche/r","Deutschland","Deutsche",866,"Deutschen","Complete","60+",1,0,"Control","Pass","FL_76","Control","Germany"
"18","2022-09-14 19:24:22","2022-09-14 19:28:38",0,100,256,1,"2022-09-14 19:28:40","anonymous","DE",1,1,37,0,1,1,10,10,2,"4|3|2|1|5",9,57,22,12,0,"4|3|2|1|5",2,"4|3|2|1|5",24,38,24,14,0,"4|3|2|1|5",4,58,42,"2|1",3,68,32,"2|1",3,5,2,3,1,2,"Deutsche/r","Deutschland","Deutsche",256,"Deutschen","Complete","30-39",1,1,"Control","Pass","FL_63","Control","Germany"
"19","2022-09-14 19:42:03","2022-09-14 19:51:21",0,100,557,1,"2022-09-14 19:51:23","anonymous","DE",0.899999976158142,1,69,1,1,1,10,10,2,"4|3|2|1|5",5,47,20,3,25,"4|3|2|1|5",2,"4|3|2|1|5",60,10,10,10,10,"4|3|2|1|5",4,50,50,"2|1",1,50,50,"2|1",2,1,2,4,3,1,"Deutsche/r","Deutschland","Deutsche",557,"Deutschen","Complete","60+",1,0,"Intervention","Pass","FL_76","Intervention","Germany"
"20","2022-09-14 22:08:31","2022-09-14 22:11:45",0,100,193,1,"2022-09-14 22:11:45","anonymous","DE",0.899999976158142,1,56,0,0,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Deutsche/r","Deutschland","Deutsche",193,"Deutschen","Screenout","50-59",NA,NA,"","","","","Germany"
"21","2022-09-14 21:56:08","2022-09-14 22:17:28",0,100,1280,1,"2022-09-14 22:17:29","anonymous","DE",0.899999976158142,1,81,1,1,1,10,10,1,"1|2|3|4|5",35,30,10,15,10,"1|2|3|4|5",1,"1|2|3|4|5",45,20,15,10,10,"1|2|3|4|5",7,40,60,"1|2",4,30,70,"1|2",4,5,2,6,6,1,"Deutsche/r","Deutschland","Deutsche",1280,"Deutschen","Complete","60+",0,0,"Control","Pass","FL_88","Control","Germany"
"22","2022-09-14 23:10:15","2022-09-14 23:12:29",0,100,133,1,"2022-09-14 23:12:31","anonymous","DE",0.899999976158142,1,39,1,1,1,10,5,2,"1|2|3|4|5",50,18,32,0,0,"1|2|3|4|5",2,"1|2|3|4|5",25,11,32,32,0,"1|2|3|4|5",2,56,44,"1|2",2,46,54,"1|2",2,99,2,5,2,1,"Deutsche/r","Deutschland","Deutsche",133,"Deutschen","Speeder","30-39",1,1,"Intervention","Pass","FL_63","Intervention","Germany"
"23","2022-09-14 23:44:01","2022-09-14 23:47:35",0,100,213,1,"2022-09-14 23:47:35","anonymous","DE",1,1,45,1,1,1,10,10,2,"4|3|2|1|5",0,100,0,0,0,"4|3|2|1|5",2,"4|3|2|1|5",0,51,49,0,0,"4|3|2|1|5",7,0,100,"2|1",4,0,100,"2|1",4,1,2,4,5,1,"Deutsche/r","Deutschland","Deutsche",213,"Deutschen","Complete","40-49",0,1,"Intervention","Pass","FL_64","Intervention","Germany"
"24","2022-09-15 02:04:17","2022-09-15 02:13:59",0,100,581,1,"2022-09-15 02:13:59","anonymous","DE",0.899999976158142,1,54,0,1,1,10,10,2,"1|2|3|4|5",55,32,10,3,0,"1|2|3|4|5",2,"1|2|3|4|5",50,38,10,2,0,"1|2|3|4|5",4,25,75,"1|2",3,16,84,"1|2",2,4,2,3,4,2,"Deutsche/r","Deutschland","Deutsche",581,"Deutschen","Complete","50-59",0,1,"Control","Pass","FL_64","Control","Germany"
"25","2022-09-15 04:04:59","2022-09-15 04:32:46",0,100,1667,1,"2022-09-15 04:32:48","anonymous","DE",0.699999988079071,1,40,1,1,1,8,5,2,"4|3|2|1|5",25,39,0,0,36,"4|3|2|1|5",2,"4|3|2|1|5",19,53,12,3,13,"4|3|2|1|5",5,28,72,"2|1",1,11,89,"2|1",2,1,2,4,7,2,"Deutsche/r","Deutschland","Deutsche",1667,"Deutschen","Complete","40-49",1,1,"Intervention","Pass","FL_63","Intervention","Germany"
"26","2022-09-15 05:42:32","2022-09-15 05:50:31",0,100,479,1,"2022-09-15 05:50:32","anonymous","DE",0.899999976158142,1,42,1,1,1,8,8,1,"4|3|2|1|5",52,29,5,5,9,"4|3|2|1|5",5,"4|3|2|1|5",9,9,3,9,70,"4|3|2|1|5",6,40,60,"2|1",4,34,66,"2|1",4,1,2,4,6,1,"Deutsche/r","Deutschland","Deutsche",479,"Deutschen","Complete","40-49",0,0,"Control","Pass","FL_88","Control","Germany"
"27","2022-09-15 06:01:00","2022-09-15 06:06:29",0,100,328,1,"2022-09-15 06:06:30","anonymous","DE",1,1,63,1,1,1,9,9,2,"4|3|2|1|5",3,11,59,27,0,"4|3|2|1|5",2,"4|3|2|1|5",28,12,30,30,0,"4|3|2|1|5",2,62,38,"2|1",2,69,31,"2|1",2,2,2,3,4,2,"Deutsche/r","Deutschland","Deutsche",328,"Deutschen","Complete","60+",1,0,"Intervention","Pass","FL_76","Intervention","Germany"
"28","2022-09-15 07:05:48","2022-09-15 07:09:39",0,100,230,1,"2022-09-15 07:09:39","anonymous","DE",0.899999976158142,1,32,1,1,1,8,5,1,"4|3|2|1|5",35,40,20,5,0,"4|3|2|1|5",1,"4|3|2|1|5",35,25,25,15,0,"4|3|2|1|5",5,40,60,"2|1",3,65,35,"2|1",4,4,2,5,4,1,"Deutsche/r","Deutschland","Deutsche",230,"Deutschen","Complete","30-39",1,1,"Control","Pass","FL_63","Control","Germany"
"29","2022-09-15 12:56:46","2022-09-15 13:02:43",0,100,357,1,"2022-09-15 13:02:43","anonymous","DE",0.899999976158142,1,47,0,1,1,10,10,2,"1|2|3|4|5",25,50,0,0,25,"1|2|3|4|5",2,"1|2|3|4|5",20,30,40,0,10,"1|2|3|4|5",5,70,30,"1|2",2,60,40,"1|2",2,1,2,4,7,1,"Deutsche/r","Deutschland","Deutsche",357,"Deutschen","Complete","40-49",1,0,"Control","Pass","FL_76","Control","Germany"
"30","2022-09-15 17:02:47","2022-09-15 17:17:01",0,100,853,1,"2022-09-15 17:17:01","anonymous","DE",1,1,75,0,1,1,10,5,1,"4|3|2|1|5",70,0,0,0,30,"4|3|2|1|5",1,"4|3|2|1|5",30,30,10,20,10,"4|3|2|1|5",4,10,90,"2|1",3,40,60,"2|1",3,7,2,4,5,1,"Deutsche/r","Deutschland","Deutsche",853,"Deutschen","Complete","60+",0,0,"Intervention","Pass","FL_88","Intervention","Germany"
"31","2022-09-15 17:26:26","2022-09-15 17:31:55",0,100,329,1,"2022-09-15 17:31:57","anonymous","DE",0.899999976158142,1,22,1,1,1,8,7,1,"1|2|3|4|5",50,30,15,5,0,"1|2|3|4|5",1,"1|2|3|4|5",60,20,10,10,0,"1|2|3|4|5",6,70,30,"1|2",4,20,80,"1|2",4,4,2,3,4,2,"Deutsche/r","Deutschland","Deutsche",329,"Deutschen","Complete","18-29",0,1,"Intervention","Pass","FL_64","Intervention","Germany"
"32","2022-09-15 18:21:14","2022-09-15 18:27:52",0,100,398,1,"2022-09-15 18:27:52","anonymous","DE",1,1,57,1,1,1,7,4,1,"4|3|2|1|5",34,22,19,11,14,"4|3|2|1|5",1,"4|3|2|1|5",23,28,16,14,19,"4|3|2|1|5",7,61,39,"2|1",3,48,52,"2|1",4,1,2,6,3,1,"Deutsche/r","Deutschland","Deutsche",398,"Deutschen","Complete","50-59",0,0,"Control","Pass","FL_88","Control","Germany"
"33","2022-09-15 22:36:34","2022-09-15 22:38:57",0,100,143,1,"2022-09-15 22:38:58","anonymous","DE",1,1,18,1,1,1,5,5,1,"1|2|3|4|5",100,0,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",100,0,0,0,0,"1|2|3|4|5",7,0,100,"1|2",3,0,100,"1|2",4,7,2,3,10,1,"Deutsche/r","Deutschland","Deutsche",143,"Deutschen","Speeder","18-29",1,1,"Intervention","Pass","FL_63","Intervention","Germany"
"34","2022-09-16 08:46:45","2022-09-16 08:53:12",0,100,386,1,"2022-09-16 08:53:12","anonymous","DE",1,1,45,0,1,1,10,8,1,"4|3|2|1|5",50,25,10,5,10,"4|3|2|1|5",1,"4|3|2|1|5",54,21,10,8,7,"4|3|2|1|5",7,60,40,"2|1",3,35,65,"2|1",3,5,2,4,5,2,"Deutsche/r","Deutschland","Deutsche",386,"Deutschen","Complete","40-49",0,1,"Control","Pass","FL_64","Control","Germany"
"35","2022-09-16 08:49:56","2022-09-16 08:55:31",0,100,335,1,"2022-09-16 08:55:31","anonymous","DE",0.899999976158142,1,67,1,1,1,5,5,2,"4|3|2|1|5",30,13,5,47,5,"4|3|2|1|5",1,"4|3|2|1|5",50,20,20,5,5,"4|3|2|1|5",7,20,80,"2|1",4,10,90,"2|1",4,7,2,3,5,1,"Deutsche/r","Deutschland","Deutsche",335,"Deutschen","Complete","60+",1,0,"Intervention","Pass","FL_76","Intervention","Germany"
"36","2022-09-16 09:31:09","2022-09-16 09:35:41",0,100,272,1,"2022-09-16 09:35:42","anonymous","DE",0.800000011920929,1,32,0,1,1,10,8,1,"4|3|2|1|5",24,30,18,7,21,"4|3|2|1|5",2,"4|3|2|1|5",14,40,18,8,20,"4|3|2|1|5",3,78,22,"2|1",2,70,30,"2|1",3,3,2,6,6,1,"Deutsche/r","Deutschland","Deutsche",272,"Deutschen","Complete","30-39",1,0,"Control","Pass","FL_76","Control","Germany"
"37","2022-09-16 11:11:55","2022-09-16 11:13:10",0,100,75,1,"2022-09-16 11:13:10","anonymous","DE",0.899999976158142,1,22,1,1,1,7,7,1,"1|2|3|4|5",100,0,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",38,35,27,0,0,"1|2|3|4|5",4,100,0,"1|2",3,8,92,"1|2",3,6,2,3,5,1,"Deutsche/r","Deutschland","Deutsche",75,"Deutschen","Speeder","18-29",0,1,"Control","Pass","FL_64","Control","Germany"
"38","2022-09-16 11:21:39","2022-09-16 11:26:39",0,100,299,1,"2022-09-16 11:26:40","anonymous","DE",1,1,57,0,1,1,9,6,2,"1|2|3|4|5",0,4,33,59,4,"1|2|3|4|5",2,"1|2|3|4|5",4,4,60,32,0,"1|2|3|4|5",6,19,81,"1|2",3,61,39,"1|2",4,99,2,4,5,2,"Deutsche/r","Deutschland","Deutsche",299,"Deutschen","Complete","50-59",0,0,"Intervention","Pass","FL_88","Intervention","Germany"
"39","2022-09-16 12:48:15","2022-09-16 12:50:32",0,100,137,1,"2022-09-16 12:50:33","anonymous","DE",0.800000011920929,1,32,0,1,1,8,8,1,"1|2|3|4|5",44,11,45,0,0,"1|2|3|4|5",2,"1|2|3|4|5",88,12,0,0,0,"1|2|3|4|5",6,69,31,"1|2",3,74,26,"1|2",3,7,2,6,6,2,"Deutsche/r","Deutschland","Deutsche",137,"Deutschen","Speeder","30-39",1,1,"Control","Pass","FL_63","Control","Germany"
"40","2022-09-16 22:13:30","2022-09-16 22:26:03",0,100,752,1,"2022-09-16 22:26:03","anonymous","DE",0.899999976158142,1,29,0,1,1,5,4,1,"4|3|2|1|5",65,15,10,5,5,"4|3|2|1|5",1,"4|3|2|1|5",50,40,3,2,5,"4|3|2|1|5",4,30,70,"2|1",4,50,50,"2|1",4,3,2,5,2,1,"Deutsche/r","Deutschland","Deutsche",752,"Deutschen","Complete","18-29",1,0,"Intervention","Pass","FL_76","Intervention","Germany"
"41","2022-09-17 20:22:30","2022-09-17 20:26:31",0,100,240,1,"2022-09-17 20:26:31","anonymous","DE",1,1,27,1,1,1,5,0,1,"1|2|3|4|5",13,23,24,19,21,"1|2|3|4|5",4,"1|2|3|4|5",7,19,27,15,32,"1|2|3|4|5",3,19,81,"1|2",2,0,100,"1|2",4,4,2,4,5,1,"Deutsche/r","Deutschland","Deutsche",240,"Deutschen","Complete","18-29",0,0,"Intervention","Pass","FL_88","Intervention","Germany"
"42","2022-09-18 11:27:48","2022-09-18 11:30:51",0,100,183,1,"2022-09-18 11:30:51","anonymous","DE",0.899999976158142,1,42,1,1,1,7,7,2,"1|2|3|4|5",0,100,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",33,67,0,0,0,"1|2|3|4|5",5,56,44,"1|2",2,9,91,"1|2",3,6,2,4,6,2,"Deutsche/r","Deutschland","Deutsche",183,"Deutschen","Complete","40-49",0,1,"Control","Pass","FL_64","Control","Germany"
"43","2022-09-18 14:42:12","2022-09-18 14:47:51",0,100,339,1,"2022-09-18 14:47:51","anonymous","DE",1,1,56,0,1,1,10,9,1,"4|3|2|1|5",0,29,41,30,0,"4|3|2|1|5",1,"4|3|2|1|5",0,0,70,30,0,"4|3|2|1|5",4,60,40,"2|1",3,60,40,"2|1",4,5,2,4,1,1,"Deutsche/r","Deutschland","Deutsche",339,"Deutschen","Complete","50-59",1,1,"Control","Pass","FL_63","Control","Germany"
"44","2022-09-19 13:25:26","2022-09-19 13:26:00",0,100,34,1,"2022-09-19 13:26:01","anonymous","DE",0.699999988079071,1,22,1,0,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Deutsche/r","Deutschland","Deutsche",34,"Deutschen","Screenout","18-29",NA,NA,"","","","","Germany"
"45","2022-09-19 13:24:39","2022-09-19 13:29:55",0,100,315,1,"2022-09-19 13:29:55","anonymous","DE",0.899999976158142,1,26,1,1,1,8,5,1,"1|2|3|4|5",91,9,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",67,33,0,0,0,"1|2|3|4|5",6,52,48,"1|2",2,49,51,"1|2",2,5,2,4,5,1,"Deutsche/r","Deutschland","Deutsche",315,"Deutschen","Complete","18-29",0,1,"Intervention","Pass","FL_64","Intervention","Germany"
"46","2022-09-19 13:24:57","2022-09-19 13:29:57",0,100,300,1,"2022-09-19 13:29:58","anonymous","DE",0.899999976158142,1,24,1,1,1,10,10,1,"4|3|2|1|5",50,15,20,15,0,"4|3|2|1|5",5,"4|3|2|1|5",0,0,0,20,80,"4|3|2|1|5",6,65,35,"2|1",3,73,27,"2|1",4,6,2,3,2,1,"Deutsche/r","Deutschland","Deutsche",300,"Deutschen","Complete","18-29",0,0,"Intervention","Pass","FL_88","Intervention","Germany"
"47","2022-09-19 13:26:16","2022-09-19 13:30:38",0,100,262,1,"2022-09-19 13:30:39","anonymous","DE",1,1,26,1,1,1,8,3,1,"4|3|2|1|5",15,35,35,10,5,"4|3|2|1|5",1,"4|3|2|1|5",10,40,35,8,7,"4|3|2|1|5",7,60,40,"2|1",4,72,28,"2|1",4,6,2,6,3,1,"Deutsche/r","Deutschland","Deutsche",262,"Deutschen","Complete","18-29",1,1,"Control","Pass","FL_63","Control","Germany"
"48","2022-09-19 13:25:32","2022-09-19 13:31:22",0,100,349,1,"2022-09-19 13:31:22","anonymous","DE",0.899999976158142,1,19,0,1,1,10,8,1,"4|3|2|1|5",38,18,15,9,20,"4|3|2|1|5",1,"4|3|2|1|5",17,30,30,23,0,"4|3|2|1|5",5,32,68,"2|1",3,33,67,"2|1",3,5,2,4,5,2,"Deutsche/r","Deutschland","Deutsche",349,"Deutschen","Complete","18-29",1,0,"Intervention","Pass","FL_76","Intervention","Germany"
"49","2022-09-19 13:28:15","2022-09-19 13:35:00",0,100,405,1,"2022-09-19 13:35:01","anonymous","DE",1,1,25,0,1,1,7,5,2,"4|3|2|1|5",41,28,9,16,6,"4|3|2|1|5",2,"4|3|2|1|5",30,25,15,5,25,"4|3|2|1|5",5,64,36,"2|1",3,47,53,"2|1",3,4,2,4,3,1,"Deutsche/r","Deutschland","Deutsche",405,"Deutschen","Complete","18-29",0,1,"Intervention","Pass","FL_64","Intervention","Germany"
"50","2022-09-19 13:30:59","2022-09-19 13:36:16",0,100,316,1,"2022-09-19 13:36:17","anonymous","DE",0.899999976158142,1,27,0,1,1,9,6,1,"1|2|3|4|5",65,20,10,5,0,"1|2|3|4|5",1,"1|2|3|4|5",65,10,25,0,0,"1|2|3|4|5",7,70,30,"1|2",4,60,40,"1|2",1,5,2,4,5,2,"Deutsche/r","Deutschland","Deutsche",316,"Deutschen","Complete","18-29",1,1,"Control","Pass","FL_63","Control","Germany"
"51","2022-09-19 13:34:47","2022-09-19 13:37:25",0,100,158,1,"2022-09-19 13:37:26","anonymous","DE",1,1,27,0,1,1,3,4,2,"1|2|3|4|5",85,15,0,0,0,"1|2|3|4|5",2,"1|2|3|4|5",64,36,0,0,0,"1|2|3|4|5",5,55,45,"1|2",2,50,50,"1|2",2,5,2,4,3,1,"Deutsche/r","Deutschland","Deutsche",158,"Deutschen","Speeder","18-29",1,0,"Intervention","Pass","FL_76","Intervention","Germany"
"52","2022-09-19 13:35:32","2022-09-19 13:41:35",0,100,362,1,"2022-09-19 13:41:35","anonymous","DE",0.899999976158142,1,20,0,1,1,10,8,1,"1|2|3|4|5",0,35,5,60,0,"1|2|3|4|5",1,"1|2|3|4|5",60,20,5,2,13,"1|2|3|4|5",5,35,65,"1|2",3,25,75,"1|2",2,6,2,3,5,2,"Deutsche/r","Deutschland","Deutsche",362,"Deutschen","Complete","18-29",1,0,"Control","Pass","FL_76","Control","Germany"
"53","2022-09-19 13:38:55","2022-09-19 13:41:59",0,100,184,1,"2022-09-19 13:42:00","anonymous","DE",0.699999988079071,1,25,1,1,1,10,7,2,"1|2|3|4|5",3,28,22,26,21,"1|2|3|4|5",2,"1|2|3|4|5",19,26,45,10,0,"1|2|3|4|5",5,37,63,"1|2",2,71,29,"1|2",2,2,2,4,8,1,"Deutsche/r","Deutschland","Deutsche",184,"Deutschen","Complete","18-29",0,0,"Control","Pass","FL_88","Control","Germany"
