"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Crear.un.campo.nuevo.o.elegir.del.menú.desplegable..","Country","Nationality_plural","Q_TotalDuration","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO"
"11","2022-09-23 17:40:21","2022-09-23 17:42:44","0","100","143","1","2022-09-23 17:42:45","anonymous","ES","1","1","30","0","1","1","1","2","2","1|2|3|4|5","73","27","0","0","0","1|2|3|4|5","2","1|2|3|4|5","47","53","0","0","0","1|2|3|4|5","2","51","49","1|2","3","45","55","1|2","2","1","2","3","3","2","mexicano/a","","México","mexicanos/as","143","Speeder","30-39","1","1","Intervention","Pass","FL_63","Intervention"
"12","2022-09-23 17:39:48","2022-09-23 17:42:49","0","100","181","1","2022-09-23 17:42:49","anonymous","ES","0.8999999761581421","1","40","1","1","1","10","10","1","4|3|2|1|5","30","30","15","15","10","4|3|2|1|5","2","4|3|2|1|5","20","30","25","10","15","4|3|2|1|5","7","40","60","2|1","4","40","60","2|1","4","7","2","5","1","1","mexicano/a","","México","mexicanos/as","181","Complete","40-49","1","1","Control","Pass","FL_63","Control"
"13","2022-09-23 17:42:31","2022-09-23 17:42:59","0","100","27","1","2022-09-23 17:42:59","anonymous","ES","1","1","31","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mexicano/a","","México","mexicanos/as","27","Screenout","30-39","","","","","",""
"14","2022-09-23 17:39:29","2022-09-23 17:43:00","0","100","210","1","2022-09-23 17:43:00","anonymous","ES","0.8999999761581421","1","26","1","1","1","9","8","1","1|2|3|4|5","79","21","0","0","0","1|2|3|4|5","1","1|2|3|4|5","39","61","0","0","0","1|2|3|4|5","5","33","67","1|2","2","37","63","1|2","2","4","2","5","3","1","mexicano/a","","México","mexicanos/as","210","Complete","18-29","1","0","Control","Pass","FL_76","Control"
"15","2022-09-23 17:39:14","2022-09-23 17:43:03","0","100","229","1","2022-09-23 17:43:03","anonymous","ES","1","1","26","0","1","1","10","10","1","4|3|2|1|5","99","0","0","1","0","4|3|2|1|5","1","4|3|2|1|5","68","27","2","3","0","4|3|2|1|5","7","0","100","2|1","4","55","45","2|1","1","4","2","5","5","1","mexicano/a","","México","mexicanos/as","229","Complete","18-29","0","1","Intervention","Pass","FL_64","Intervention"
"16","2022-09-23 17:40:17","2022-09-23 17:43:14","0","100","176","1","2022-09-23 17:43:14","anonymous","ES","0.8999999761581421","1","42","1","1","1","10","8","1","1|2|3|4|5","80","20","0","0","0","1|2|3|4|5","1","1|2|3|4|5","80","20","0","0","0","1|2|3|4|5","7","65","35","1|2","4","75","25","1|2","3","6","2","6","5","1","mexicano/a","","México","mexicanos/as","176","Speeder","40-49","0","1","Intervention","Pass","FL_64","Intervention"
"17","2022-09-23 17:39:24","2022-09-23 17:43:38","0","100","253","1","2022-09-23 17:43:38","anonymous","ES","1","1","22","0","1","1","10","10","1","4|3|2|1|5","0","38","23","39","0","4|3|2|1|5","1","4|3|2|1|5","82","0","0","18","0","4|3|2|1|5","7","72","28","2|1","4","44","56","2|1","4","7","2","5","5","1","mexicano/a","","México","mexicanos/as","253","Complete","18-29","1","0","Intervention","Pass","FL_76","Intervention"
"18","2022-09-23 17:38:13","2022-09-23 17:43:45","0","100","332","1","2022-09-23 17:43:46","anonymous","ES","1","1","30","0","1","1","10","8","2","1|2|3|4|5","28","49","23","0","0","1|2|3|4|5","2","1|2|3|4|5","18","44","29","0","9","1|2|3|4|5","7","31","69","1|2","3","57","43","1|2","3","7","2","4","5","1","mexicano/a","","México","mexicanos/as","332","Complete","30-39","1","1","Control","Pass","FL_63","Control"
"19","2022-09-23 17:38:01","2022-09-23 17:43:47","0","100","346","1","2022-09-23 17:43:47","anonymous","ES","1","1","20","0","1","1","0","10","2","4|3|2|1|5","19","17","22","32","10","4|3|2|1|5","2","4|3|2|1|5","14","33","22","24","7","4|3|2|1|5","7","61","39","2|1","4","53","47","2|1","4","3","2","4","9","1","mexicano/a","","México","mexicanos/as","346","Complete","18-29","1","1","Intervention","Pass","FL_63","Intervention"
"20","2022-09-23 17:38:12","2022-09-23 17:43:50","0","100","337","1","2022-09-23 17:43:51","anonymous","ES","1","1","41","1","1","1","10","10","1","4|3|2|1|5","19","40","27","14","0","4|3|2|1|5","1","4|3|2|1|5","49","34","17","0","0","4|3|2|1|5","7","45","55","2|1","4","34","66","2|1","3","7","2","5","8","1","mexicano/a","","México","mexicanos/as","337","Complete","40-49","1","0","Control","Pass","FL_76","Control"
"21","2022-09-23 17:41:14","2022-09-23 17:44:03","0","100","169","1","2022-09-23 17:44:04","anonymous","ES","0.8999999761581421","1","26","0","1","1","5","5","1","4|3|2|1|5","81","0","12","7","0","4|3|2|1|5","2","4|3|2|1|5","29","71","0","0","0","4|3|2|1|5","5","59","41","2|1","3","52","48","2|1","1","3","2","4","6","1","mexicano/a","","México","mexicanos/as","169","Speeder","18-29","1","1","Intervention","Pass","FL_63","Intervention"
"22","2022-09-23 17:40:07","2022-09-23 17:44:07","0","100","240","1","2022-09-23 17:44:07","anonymous","ES","1","1","38","0","1","1","10","10","1","4|3|2|1|5","23","0","29","48","0","4|3|2|1|5","2","4|3|2|1|5","25","32","33","10","0","4|3|2|1|5","7","18","82","2|1","3","25","75","2|1","4","7","2","5","6","1","mexicano/a","","México","mexicanos/as","240","Complete","30-39","1","0","Control","Pass","FL_76","Control"
"23","2022-09-23 17:39:10","2022-09-23 17:44:14","0","100","303","1","2022-09-23 17:44:14","anonymous","ES","1","1","34","0","1","1","7","7","1","4|3|2|1|5","18","14","10","26","32","4|3|2|1|5","2","4|3|2|1|5","22","9","19","25","25","4|3|2|1|5","7","58","42","2|1","3","57","43","2|1","3","7","2","6","7","1","mexicano/a","","México","mexicanos/as","303","Complete","30-39","1","1","Intervention","Pass","FL_63","Intervention"
"24","2022-09-23 17:37:52","2022-09-23 17:44:35","0","100","402","1","2022-09-23 17:44:36","anonymous","ES","1","1","46","0","1","1","10","10","3","4|3|2|1|5","7","31","32","30","0","4|3|2|1|5","2","4|3|2|1|5","19","20","19","19","23","4|3|2|1|5","4","49","51","2|1","3","49","51","2|1","3","4","2","5","5","1","mexicano/a","","México","mexicanos/as","402","Complete","40-49","1","0","Control","Pass","FL_76","Control"
"25","2022-09-23 17:42:33","2022-09-23 17:44:54","0","100","140","1","2022-09-23 17:44:54","anonymous","ES","1","1","25","1","1","1","9","9","2","1|2|3|4|5","16","48","16","20","0","1|2|3|4|5","2","1|2|3|4|5","29","59","12","0","0","1|2|3|4|5","6","45","55","1|2","4","26","74","1|2","4","6","2","5","9","1","mexicano/a","","México","mexicanos/as","140","Speeder","18-29","0","1","Control","Pass","FL_64","Control"
"26","2022-09-23 17:39:09","2022-09-23 17:44:54","0","100","344","1","2022-09-23 17:44:55","anonymous","ES","1","1","58","1","1","1","10","10","1","1|2|3|4|5","40","30","15","15","0","1|2|3|4|5","1","1|2|3|4|5","40","30","15","15","0","1|2|3|4|5","5","70","30","1|2","3","80","20","1|2","2","6","2","5","6","1","mexicano/a","","México","mexicanos/as","344","Complete","50-59","0","1","Control","Pass","FL_64","Control"
"27","2022-09-23 17:39:10","2022-09-23 17:44:57","0","100","346","1","2022-09-23 17:44:57","anonymous","ES","0.8999999761581421","1","30","0","1","1","10","10","1","4|3|2|1|5","0","60","22","18","0","4|3|2|1|5","1","4|3|2|1|5","0","0","48","52","0","4|3|2|1|5","7","48","52","2|1","3","48","52","2|1","4","6","2","5","6","1","mexicano/a","","México","mexicanos/as","346","Complete","30-39","0","0","Intervention","Pass","FL_88","Intervention"
"28","2022-09-23 17:39:39","2022-09-23 17:45:16","0","100","336","1","2022-09-23 17:45:16","anonymous","ES","0.8999999761581421","1","24","1","1","1","10","10","1","1|2|3|4|5","68","32","0","0","0","1|2|3|4|5","1","1|2|3|4|5","63","37","0","0","0","1|2|3|4|5","6","32","68","1|2","4","29","71","1|2","4","6","2","5","5","1","mexicano/a","","México","mexicanos/as","336","Complete","18-29","0","0","Intervention","Pass","FL_88","Intervention"
"29","2022-09-23 17:39:52","2022-09-23 17:45:17","0","100","324","1","2022-09-23 17:45:18","anonymous","ES","0.8999999761581421","1","32","0","1","1","10","10","1","1|2|3|4|5","42","44","14","0","0","1|2|3|4|5","1","1|2|3|4|5","19","36","45","0","0","1|2|3|4|5","7","47","53","1|2","4","46","54","1|2","4","7","2","5","9","1","mexicano/a","","México","mexicanos/as","324","Complete","30-39","0","0","Intervention","Pass","FL_88","Intervention"
"30","2022-09-23 17:39:56","2022-09-23 17:45:21","0","100","325","1","2022-09-23 17:45:22","anonymous","ES","1","1","32","1","1","1","8","2","2","4|3|2|1|5","45","10","10","20","15","4|3|2|1|5","2","4|3|2|1|5","26","30","5","15","24","4|3|2|1|5","7","80","20","2|1","3","50","50","2|1","3","5","2","4","5","1","mexicano/a","","México","mexicanos/as","325","Complete","30-39","1","0","Intervention","Pass","FL_76","Intervention"
"31","2022-09-23 17:43:09","2022-09-23 17:45:30","0","100","140","1","2022-09-23 17:45:30","anonymous","ES","1","1","37","1","1","1","10","8","1","1|2|3|4|5","43","57","0","0","0","1|2|3|4|5","2","1|2|3|4|5","62","38","0","0","0","1|2|3|4|5","5","54","46","1|2","3","77","23","1|2","2","6","2","5","6","1","mexicano/a","","México","mexicanos/as","140","Speeder","30-39","1","1","Intervention","Pass","FL_63","Intervention"
"32","2022-09-23 17:40:23","2022-09-23 17:45:56","0","100","333","1","2022-09-23 17:45:56","anonymous","ES","1","1","39","1","1","1","10","10","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","2","1|2|3|4|5","32","61","7","0","0","1|2|3|4|5","7","80","20","1|2","4","81","19","1|2","3","6","2","4","3","1","mexicano/a","","México","mexicanos/as","333","Complete","30-39","1","0","Control","Pass","FL_76","Control"
"33","2022-09-23 17:42:00","2022-09-23 17:46:12","0","100","251","1","2022-09-23 17:46:12","anonymous","ES","0.8999999761581421","1","37","0","1","1","10","10","1","4|3|2|1|5","21","25","17","17","20","4|3|2|1|5","3","4|3|2|1|5","31","8","22","34","5","4|3|2|1|5","7","41","59","2|1","4","42","58","2|1","4","7","2","7","10","1","mexicano/a","","México","mexicanos/as","251","Complete","30-39","0","0","Control","Pass","FL_88","Control"
"34","2022-09-23 17:39:13","2022-09-23 17:46:14","0","100","420","1","2022-09-23 17:46:14","anonymous","ES","1","1","33","0","1","1","10","8","2","4|3|2|1|5","15","50","15","20","0","4|3|2|1|5","2","4|3|2|1|5","20","40","20","20","0","4|3|2|1|5","5","50","50","2|1","3","50","50","2|1","3","99","2","5","5","1","mexicano/a","","México","mexicanos/as","420","Complete","30-39","1","1","Control","Pass","FL_63","Control"
"35","2022-09-23 17:40:15","2022-09-23 17:46:16","0","100","360","1","2022-09-23 17:46:16","anonymous","ES","1","1","24","0","1","1","10","10","3","1|2|3|4|5","0","40","10","0","50","1|2|3|4|5","2","1|2|3|4|5","0","100","0","0","0","1|2|3|4|5","7","70","30","1|2","3","100","0","1|2","4","7","2","6","10","2","mexicano/a","","México","mexicanos/as","360","Complete","18-29","0","1","Intervention","Pass","FL_64","Intervention"
"36","2022-09-23 17:37:56","2022-09-23 17:46:25","0","100","508","1","2022-09-23 17:46:25","anonymous","ES","1","1","27","0","1","1","8","5","1","1|2|3|4|5","80","10","0","0","10","1|2|3|4|5","2","1|2|3|4|5","70","20","0","0","10","1|2|3|4|5","7","40","60","1|2","3","60","40","1|2","2","6","2","5","5","1","mexicano/a","","México","mexicanos/as","508","Complete","18-29","1","0","Control","Pass","FL_76","Control"
"37","2022-09-23 17:42:54","2022-09-23 17:47:04","0","100","249","1","2022-09-23 17:47:04","anonymous","ES","0.8999999761581421","1","38","0","1","1","10","10","3","4|3|2|1|5","22","11","22","33","12","4|3|2|1|5","2","4|3|2|1|5","17","19","31","15","18","4|3|2|1|5","6","38","62","2|1","3","37","63","2|1","3","6","2","5","5","1","mexicano/a","","México","mexicanos/as","249","Complete","30-39","1","1","Intervention","Pass","FL_63","Intervention"
"38","2022-09-23 17:42:05","2022-09-23 17:47:07","0","100","302","1","2022-09-23 17:47:08","anonymous","ES","1","1","19","0","1","1","0","10","2","1|2|3|4|5","80","0","20","0","0","1|2|3|4|5","1","1|2|3|4|5","80","5","15","0","0","1|2|3|4|5","6","20","80","1|2","4","50","50","1|2","4","5","2","4","10","1","mexicano/a","","México","mexicanos/as","302","Complete","18-29","0","1","Intervention","Pass","FL_64","Intervention"
"39","2022-09-23 17:42:24","2022-09-23 17:47:12","0","100","288","1","2022-09-23 17:47:13","anonymous","ES","1","1","50","1","1","1","10","10","3","4|3|2|1|5","0","0","17","16","67","4|3|2|1|5","4","4|3|2|1|5","0","0","22","14","64","4|3|2|1|5","6","95","5","2|1","1","100","0","2|1","1","1","2","6","5","1","mexicano/a","","México","mexicanos/as","288","Complete","50-59","1","0","Control","Pass","FL_76","Control"
"40","2022-09-23 17:44:03","2022-09-23 17:47:19","0","100","195","1","2022-09-23 17:47:19","anonymous","ES","1","1","37","1","1","1","10","10","1","4|3|2|1|5","62","26","0","12","0","4|3|2|1|5","1","4|3|2|1|5","66","25","9","0","0","4|3|2|1|5","7","78","22","2|1","4","92","8","2|1","4","1","2","6","5","1","mexicano/a","","México","mexicanos/as","195","Complete","30-39","1","1","Intervention","Pass","FL_63","Intervention"
"41","2022-09-23 17:42:18","2022-09-23 17:47:28","0","100","310","1","2022-09-23 17:47:29","anonymous","ES","1","1","19","0","1","1","10","10","3","1|2|3|4|5","16","16","23","34","11","1|2|3|4|5","1","1|2|3|4|5","28","23","5","19","25","1|2|3|4|5","5","34","66","1|2","4","25","75","1|2","4","4","2","4","3","1","mexicano/a","","México","mexicanos/as","310","Complete","18-29","1","0","Control","Pass","FL_76","Control"
"42","2022-09-23 17:45:57","2022-09-23 17:47:38","0","100","101","1","2022-09-23 17:47:39","anonymous","ES","1","1","38","1","1","1","10","8","1","4|3|2|1|5","0","0","44","56","0","4|3|2|1|5","1","4|3|2|1|5","0","0","37","63","0","4|3|2|1|5","6","42","58","2|1","4","52","48","2|1","4","6","2","5","9","1","mexicano/a","","México","mexicanos/as","101","Speeder","30-39","0","0","Control","Pass","FL_88","Control"
"43","2022-09-23 17:42:17","2022-09-23 17:47:40","0","100","323","1","2022-09-23 17:47:40","anonymous","ES","1","1","29","0","1","1","10","8","1","1|2|3|4|5","51","21","17","11","0","1|2|3|4|5","1","1|2|3|4|5","58","27","11","4","0","1|2|3|4|5","5","52","48","1|2","4","59","41","1|2","4","5","2","4","5","2","mexicano/a","","México","mexicanos/as","323","Complete","18-29","0","1","Control","Pass","FL_64","Control"
"44","2022-09-23 17:38:18","2022-09-23 17:47:42","0","100","563","1","2022-09-23 17:47:42","anonymous","ES","1","1","28","0","1","1","10","8","3","1|2|3|4|5","60","30","10","0","0","1|2|3|4|5","2","1|2|3|4|5","60","30","10","0","0","1|2|3|4|5","3","30","70","1|2","3","50","50","1|2","3","6","2","5","5","1","mexicano/a","","México","mexicanos/as","563","Complete","18-29","0","1","Control","Pass","FL_64","Control"
"45","2022-09-23 17:44:36","2022-09-23 17:47:43","0","100","186","1","2022-09-23 17:47:43","anonymous","ES","1","1","36","0","1","1","10","10","2","1|2|3|4|5","84","16","0","0","0","1|2|3|4|5","2","1|2|3|4|5","77","23","0","0","0","1|2|3|4|5","7","53","47","1|2","3","59","41","1|2","3","6","2","5","5","1","mexicano/a","","México","mexicanos/as","186","Complete","30-39","0","1","Intervention","Pass","FL_64","Intervention"
"46","2022-09-23 17:40:05","2022-09-23 17:47:48","0","100","463","1","2022-09-23 17:47:48","anonymous","ES","1","1","44","1","1","1","10","10","1","4|3|2|1|5","63","30","7","0","0","4|3|2|1|5","1","4|3|2|1|5","70","13","8","9","0","4|3|2|1|5","6","70","30","2|1","3","70","30","2|1","3","7","2","4","5","1","mexicano/a","","México","mexicanos/as","463","Complete","40-49","0","0","Intervention","Pass","FL_88","Intervention"
"47","2022-09-23 17:43:48","2022-09-23 17:48:02","0","100","253","1","2022-09-23 17:48:03","anonymous","ES","1","1","45","1","1","1","10","10","2","4|3|2|1|5","26","33","15","26","0","4|3|2|1|5","2","4|3|2|1|5","5","55","24","16","0","4|3|2|1|5","7","62","38","2|1","4","73","27","2|1","3","7","2","5","9","1","mexicano/a","","México","mexicanos/as","253","Complete","40-49","1","1","Control","Pass","FL_63","Control"
"48","2022-09-23 17:40:34","2022-09-23 17:48:07","0","100","452","1","2022-09-23 17:48:08","anonymous","ES","1","1","32","1","1","1","10","10","2","4|3|2|1|5","23","34","11","32","0","4|3|2|1|5","2","4|3|2|1|5","12","38","0","50","0","4|3|2|1|5","7","9","91","2|1","4","23","77","2|1","4","7","2","5","4","1","mexicano/a","","México","mexicanos/as","452","Complete","30-39","0","0","Intervention","Pass","FL_88","Intervention"
"49","2022-09-23 17:45:26","2022-09-23 17:48:23","0","100","176","1","2022-09-23 17:48:23","anonymous","ES","0.8999999761581421","1","29","0","1","1","10","10","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","7","22","78","1|2","3","28","72","1|2","2","5","2","5","5","1","mexicano/a","","México","mexicanos/as","176","Speeder","18-29","0","1","Intervention","Pass","FL_64","Intervention"
"50","2022-09-23 17:42:13","2022-09-23 17:48:23","0","100","370","1","2022-09-23 17:48:24","anonymous","ES","1","1","35","1","1","1","10","10","2","4|3|2|1|5","15","10","15","60","0","4|3|2|1|5","2","4|3|2|1|5","10","10","20","20","40","4|3|2|1|5","7","40","60","2|1","3","80","20","2|1","3","6","2","5","5","1","mexicano/a","","México","mexicanos/as","370","Complete","30-39","0","0","Intervention","Pass","FL_88","Intervention"
"51","2022-09-23 17:42:31","2022-09-23 17:48:32","0","100","361","1","2022-09-23 17:48:33","anonymous","ES","1","1","35","1","1","1","10","10","2","1|2|3|4|5","40","25","35","0","0","1|2|3|4|5","2","1|2|3|4|5","48","52","0","0","0","1|2|3|4|5","6","36","64","1|2","4","33","67","1|2","4","7","2","4","0","1","mexicano/a","","México","mexicanos/as","361","Complete","30-39","1","0","Intervention","Pass","FL_76","Intervention"
"52","2022-09-23 17:43:44","2022-09-23 17:48:42","0","100","298","1","2022-09-23 17:48:42","anonymous","ES","0.8999999761581421","1","27","1","1","1","10","10","2","4|3|2|1|5","0","0","0","0","100","4|3|2|1|5","1","4|3|2|1|5","10","10","10","10","60","4|3|2|1|5","7","91","9","2|1","4","85","15","2|1","4","7","2","4","5","1","mexicano/a","","México","mexicanos/as","298","Complete","18-29","0","0","Control","Pass","FL_88","Control"
"53","2022-09-23 17:44:02","2022-09-23 17:48:46","0","100","284","1","2022-09-23 17:48:46","anonymous","ES","1","1","30","1","1","1","10","7","1","1|2|3|4|5","21","29","45","5","0","1|2|3|4|5","1","1|2|3|4|5","26","63","8","3","0","1|2|3|4|5","6","72","28","1|2","4","69","31","1|2","4","7","2","7","5","1","mexicano/a","","México","mexicanos/as","284","Complete","30-39","0","0","Control","Pass","FL_88","Control"
"54","2022-09-23 17:42:59","2022-09-23 17:48:48","0","100","349","1","2022-09-23 17:48:48","anonymous","ES","1","1","33","1","1","1","10","10","1","4|3|2|1|5","100","0","0","0","0","4|3|2|1|5","1","4|3|2|1|5","100","0","0","0","0","4|3|2|1|5","7","18","82","2|1","3","28","72","2|1","4","6","2","4","5","1","mexicano/a","","México","mexicanos/as","349","Complete","30-39","0","1","Control","Pass","FL_64","Control"
"55","2022-09-23 17:45:40","2022-09-23 17:48:57","0","100","197","1","2022-09-23 17:48:57","anonymous","ES","1","1","27","1","1","1","10","10","1","1|2|3|4|5","54","41","5","0","0","1|2|3|4|5","1","1|2|3|4|5","65","21","14","0","0","1|2|3|4|5","7","36","64","1|2","4","43","57","1|2","4","7","2","5","7","1","mexicano/a","","México","mexicanos/as","197","Complete","18-29","0","1","Control","Pass","FL_64","Control"
"56","2022-09-23 17:38:01","2022-09-23 17:49:05","0","100","664","1","2022-09-23 17:49:06","anonymous","ES","1","1","38","0","1","1","10","10","2","1|2|3|4|5","20","20","20","20","20","1|2|3|4|5","1","1|2|3|4|5","20","20","20","20","20","1|2|3|4|5","5","50","50","1|2","3","50","50","1|2","3","7","2","5","6","1","mexicano/a","","México","mexicanos/as","664","Complete","30-39","0","1","Control","Pass","FL_64","Control"
"57","2022-09-23 17:37:58","2022-09-23 17:49:06","0","100","668","1","2022-09-23 17:49:06","anonymous","ES","0.8999999761581421","1","31","0","1","1","10","10","1","1|2|3|4|5","70","20","10","0","0","1|2|3|4|5","1","1|2|3|4|5","40","30","10","20","0","1|2|3|4|5","4","80","20","1|2","4","20","80","1|2","3","6","2","5","5","1","mexicano/a","","México","mexicanos/as","668","Complete","30-39","0","0","Intervention","Pass","FL_88","Intervention"
"58","2022-09-23 17:43:37","2022-09-23 17:49:09","0","100","331","1","2022-09-23 17:49:09","anonymous","ES","1","1","41","1","1","1","10","10","2","4|3|2|1|5","41","51","4","4","0","4|3|2|1|5","2","4|3|2|1|5","35","43","15","7","0","4|3|2|1|5","6","70","30","2|1","3","64","36","2|1","3","7","2","6","4","1","mexicano/a","","México","mexicanos/as","331","Complete","40-49","0","1","Intervention","Pass","FL_64","Intervention"
