"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Country","Nationality_plural","Q_TotalDuration","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO"
"11","2022-09-29 12:28:48","2022-09-29 12:33:59","0","100","311","1","2022-09-29 12:33:59","anonymous","JA","1","1","40","0","1","1","10","10","2","4|3|2|1|5","29","71","0","0","0","4|3|2|1|5","1","4|3|2|1|5","37","63","0","0","0","4|3|2|1|5","3","0","100","2|1","3","100","0","2|1","2","3","2","4","9","2","日本人","日本","日本人","311","Complete","40-49","0","0","Intervention","Pass","FL_88","Intervention"
"12","2022-09-29 13:14:31","2022-09-29 13:17:53","0","100","201","1","2022-09-29 13:17:53","anonymous","JA","0.8999999761581421","1","39","0","1","1","7","7","4","4|3|2|1|5","20","30","30","20","0","4|3|2|1|5","5","4|3|2|1|5","20","20","30","20","10","4|3|2|1|5","3","50","50","2|1","1","50","50","2|1","1","99","2","7","5","1","日本人","日本","日本人","201","Complete","30-39","1","1","Control","Pass","FL_63","Control"
"13","2022-09-29 13:20:13","2022-09-29 13:27:50","0","100","457","1","2022-09-29 13:27:51","anonymous","JA","1","1","66","1","1","1","10","10","2","1|2|3|4|5","12","88","0","0","0","1|2|3|4|5","1","1|2|3|4|5","73","27","0","0","0","1|2|3|4|5","1","40","60","1|2","2","80","20","1|2","2","2","2","3","6","1","日本人","日本","日本人","457","Complete","60+","0","1","Intervention","Pass","FL_64","Intervention"
"14","2022-09-29 13:32:19","2022-09-29 13:37:59","0","100","340","1","2022-09-29 13:38:00","anonymous","JA","0.800000011920929","1","72","1","1","1","0","0","1","4|3|2|1|5","100","0","0","0","0","4|3|2|1|5","1","4|3|2|1|5","100","0","0","0","0","4|3|2|1|5","4","40","60","2|1","3","59","41","2|1","3","6","2","5","6","1","日本人","日本","日本人","340","Complete","60+","1","0","Intervention","Pass","FL_76","Intervention"
"15","2022-09-29 13:49:48","2022-09-29 13:52:10","0","100","142","1","2022-09-29 13:52:11","anonymous","JA","0.8999999761581421","1","55","1","1","1","10","10","2","4|3|2|1|5","28","25","25","22","0","4|3|2|1|5","2","4|3|2|1|5","36","17","16","13","18","4|3|2|1|5","4","37","63","2|1","3","86","14","2|1","3","3","2","3","3","1","日本人","日本","日本人","142","Speeder","50-59","1","0","Control","Pass","FL_76","Control"
"16","2022-09-29 13:44:35","2022-09-29 13:53:45","0","100","550","1","2022-09-29 13:53:46","anonymous","JA","0.800000011920929","1","55","1","1","1","10","10","1","4|3|2|1|5","50","25","10","5","10","4|3|2|1|5","1","4|3|2|1|5","33","14","28","10","15","4|3|2|1|5","1","60","40","2|1","2","50","50","2|1","3","4","2","5","3","1","日本人","日本","日本人","550","Complete","50-59","0","0","Control","Pass","FL_88","Control"
"17","2022-09-29 15:14:40","2022-09-29 15:20:44","0","100","364","1","2022-09-29 15:20:45","anonymous","JA","0.8999999761581421","1","36","0","1","1","10","10","1","1|2|3|4|5","50","50","0","0","0","1|2|3|4|5","5","1|2|3|4|5","20","20","10","0","50","1|2|3|4|5","1","80","20","1|2","2","70","30","1|2","3","4","2","5","5","1","日本人","日本","日本人","364","Complete","30-39","1","1","Intervention","Pass","FL_63","Intervention"
"18","2022-09-29 16:21:24","2022-09-29 16:23:03","0","100","98","1","2022-09-29 16:23:03","anonymous","JA","0.4000000059604645","1","27","1","1","1","8","7","1","1|2|3|4|5","43","33","24","0","0","1|2|3|4|5","2","1|2|3|4|5","61","39","0","0","0","1|2|3|4|5","5","37","63","1|2","2","56","44","1|2","2","4","2","5","6","1","日本人","日本","日本人","98","Speeder","18-29","0","1","Control","Pass","FL_64","Control"
"19","2022-09-29 17:00:54","2022-09-29 17:06:26","0","100","331","1","2022-09-29 17:06:26","anonymous","JA","0.8999999761581421","1","51","1","1","1","10","8","1","4|3|2|1|5","0","100","0","0","0","4|3|2|1|5","1","4|3|2|1|5","100","0","0","0","0","4|3|2|1|5","2","0","100","2|1","3","22","78","2|1","1","2","2","5","6","1","日本人","日本","日本人","331","Complete","50-59","1","0","Intervention","Pass","FL_76","Intervention"
"20","2022-09-29 17:19:51","2022-09-29 17:22:57","0","100","185","1","2022-09-29 17:22:57","anonymous","JA","0.4000000059604645","1","39","1","1","1","10","10","1","1|2|3|4|5","22","27","37","14","0","1|2|3|4|5","1","1|2|3|4|5","54","13","13","20","0","1|2|3|4|5","4","19","81","1|2","2","48","52","1|2","2","3","2","5","5","1","日本人","日本","日本人","185","Complete","30-39","0","1","Control","Pass","FL_64","Control"
"21","2022-09-29 17:29:04","2022-09-29 17:33:43","0","100","279","1","2022-09-29 17:33:44","anonymous","JA","1","1","55","1","1","1","10","10","1","1|2|3|4|5","82","18","0","0","0","1|2|3|4|5","1","1|2|3|4|5","93","7","0","0","0","1|2|3|4|5","3","38","62","1|2","2","73","27","1|2","3","6","2","3","6","1","日本人","日本","日本人","279","Complete","50-59","1","1","Intervention","Pass","FL_63","Intervention"
"22","2022-09-29 17:21:40","2022-09-29 17:33:48","0","100","728","1","2022-09-29 17:33:48","anonymous","JA","1","1","70","1","1","1","7","7","2","4|3|2|1|5","40","50","1","0","9","4|3|2|1|5","2","4|3|2|1|5","40","50","1","0","9","4|3|2|1|5","1","70","30","2|1","2","80","20","2|1","2","99","2","3","5","1","日本人","日本","日本人","728","Complete","60+","0","0","Intervention","Pass","FL_88","Intervention"
"23","2022-09-29 23:09:47","2022-09-29 23:12:54","0","100","187","1","2022-09-29 23:12:55","anonymous","JA","1","1","49","1","1","1","10","6","2","1|2|3|4|5","20","80","0","0","0","1|2|3|4|5","2","1|2|3|4|5","20","80","0","0","0","1|2|3|4|5","2","90","10","1|2","2","50","50","1|2","2","3","2","5","6","2","日本人","日本","日本人","187","Complete","40-49","1","1","Control","Pass","FL_63","Control"
"24","2022-09-30 15:17:40","2022-09-30 15:20:10","0","100","149","1","2022-09-30 15:20:10","anonymous","JA","0.8999999761581421","1","51","1","1","1","10","0","2","1|2|3|4|5","61","39","0","0","0","1|2|3|4|5","1","1|2|3|4|5","56","44","0","0","0","1|2|3|4|5","2","92","8","1|2","2","78","22","1|2","2","2","2","5","3","2","日本人","日本","日本人","149","Speeder","50-59","1","0","Control","Pass","FL_76","Control"
"25","2022-09-30 15:17:15","2022-09-30 15:21:04","0","100","229","1","2022-09-30 15:21:04","anonymous","JA","1","1","48","1","1","1","10","5","5","1|2|3|4|5","10","77","6","0","7","1|2|3|4|5","5","1|2|3|4|5","38","37","25","0","0","1|2|3|4|5","3","49","51","1|2","3","52","48","1|2","3","3","2","3","5","2","日本人","日本","日本人","229","Complete","40-49","0","0","Intervention","Pass","FL_88","Intervention"
"26","2022-09-30 15:17:56","2022-09-30 15:21:54","0","100","237","1","2022-09-30 15:21:55","anonymous","JA","0.8999999761581421","1","41","0","1","1","10","5","2","4|3|2|1|5","40","60","0","0","0","4|3|2|1|5","5","4|3|2|1|5","0","0","0","0","100","4|3|2|1|5","1","50","50","2|1","3","47","53","2|1","3","99","2","5","5","1","日本人","日本","日本人","237","Complete","40-49","1","1","Control","Pass","FL_63","Control"
"27","2022-09-30 15:19:23","2022-09-30 15:22:52","0","100","208","1","2022-09-30 15:22:52","anonymous","JA","0.8999999761581421","1","30","1","1","1","10","10","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","1","1|2|3|4|5","0","100","0","0","0","1|2|3|4|5","3","100","0","1|2","2","100","0","1|2","2","1","2","5","5","3","日本人","日本","日本人","208","Complete","30-39","0","0","Intervention","Pass","FL_88","Intervention"
"28","2022-09-30 15:18:24","2022-09-30 15:23:02","0","100","278","1","2022-09-30 15:23:04","anonymous","JA","0.800000011920929","1","34","0","1","1","10","7","1","1|2|3|4|5","77","23","0","0","0","1|2|3|4|5","2","1|2|3|4|5","0","71","0","0","29","1|2|3|4|5","5","71","29","1|2","2","54","46","1|2","2","3","2","5","5","1","日本人","日本","日本人","278","Complete","30-39","1","0","Intervention","Pass","FL_76","Intervention"
"29","2022-09-30 15:18:45","2022-09-30 15:23:07","0","100","261","1","2022-09-30 15:23:07","anonymous","JA","0.699999988079071","1","54","1","1","1","10","10","1","1|2|3|4|5","74","26","0","0","0","1|2|3|4|5","5","1|2|3|4|5","66","34","0","0","0","1|2|3|4|5","3","41","59","1|2","2","56","44","1|2","4","7","2","5","5","1","日本人","日本","日本人","261","Complete","50-59","0","1","Control","Pass","FL_64","Control"
"30","2022-09-30 15:17:46","2022-09-30 15:23:09","0","100","322","1","2022-09-30 15:23:09","anonymous","JA","0.8999999761581421","1","46","1","1","1","10","10","5","1|2|3|4|5","50","37","13","0","0","1|2|3|4|5","5","1|2|3|4|5","50","0","50","0","0","1|2|3|4|5","5","30","70","1|2","3","82","18","1|2","1","99","2","5","5","2","日本人","日本","日本人","322","Complete","40-49","0","0","Control","Pass","FL_88","Control"
"31","2022-09-30 15:20:51","2022-09-30 15:23:54","0","100","182","1","2022-09-30 15:23:54","anonymous","JA","1","1","44","1","1","1","10","10","1","1|2|3|4|5","57","43","0","0","0","1|2|3|4|5","2","1|2|3|4|5","49","51","0","0","0","1|2|3|4|5","5","30","70","1|2","3","70","30","1|2","3","5","2","5","5","1","日本人","日本","日本人","182","Complete","40-49","0","0","Control","Pass","FL_88","Control"
"32","2022-09-30 15:19:21","2022-09-30 15:24:06","0","100","285","1","2022-09-30 15:24:07","anonymous","JA","0.8999999761581421","1","54","1","1","1","10","8","2","1|2|3|4|5","30","15","15","15","25","1|2|3|4|5","2","1|2|3|4|5","25","25","10","25","15","1|2|3|4|5","1","85","15","1|2","2","35","65","1|2","2","3","2","5","5","1","日本人","日本","日本人","285","Complete","50-59","0","1","Intervention","Pass","FL_64","Intervention"
"33","2022-09-30 15:17:00","2022-09-30 15:24:37","0","100","456","1","2022-09-30 15:24:37","anonymous","JA","1","1","74","1","1","1","10","10","2","1|2|3|4|5","55","30","5","5","5","1|2|3|4|5","1","1|2|3|4|5","65","20","5","0","10","1|2|3|4|5","4","85","15","1|2","2","40","60","1|2","3","2","2","5","7","2","日本人","日本","日本人","456","Complete","60+","0","1","Intervention","Pass","FL_64","Intervention"
"34","2022-09-30 15:21:12","2022-09-30 15:24:45","0","100","212","1","2022-09-30 15:24:45","anonymous","JA","1","1","55","1","1","1","10","10","1","1|2|3|4|5","90","10","0","0","0","1|2|3|4|5","1","1|2|3|4|5","91","9","0","0","0","1|2|3|4|5","5","29","71","1|2","4","50","50","1|2","3","6","2","5","5","1","日本人","日本","日本人","212","Complete","50-59","0","1","Control","Pass","FL_64","Control"
"35","2022-09-30 15:22:15","2022-09-30 15:26:11","0","100","235","1","2022-09-30 15:26:12","anonymous","JA","0.8999999761581421","1","43","0","1","1","10","5","1","4|3|2|1|5","100","0","0","0","0","4|3|2|1|5","5","4|3|2|1|5","0","0","0","100","0","4|3|2|1|5","5","100","0","2|1","4","100","0","2|1","4","5","2","4","5","2","日本人","日本","日本人","235","Complete","40-49","0","0","Control","Pass","FL_88","Control"
"36","2022-09-30 15:19:59","2022-09-30 15:26:46","0","100","406","1","2022-09-30 15:26:47","anonymous","JA","1","1","67","0","1","1","10","8","1","4|3|2|1|5","80","16","2","2","0","4|3|2|1|5","1","4|3|2|1|5","72","10","5","3","10","4|3|2|1|5","2","40","60","2|1","3","60","40","2|1","4","3","2","6","5","1","日本人","日本","日本人","406","Complete","60+","1","1","Intervention","Pass","FL_63","Intervention"
"37","2022-09-30 15:25:12","2022-09-30 15:28:03","0","100","170","1","2022-09-30 15:28:04","anonymous","JA","0.10000000149011612","1","25","0","1","1","10","7","5","1|2|3|4|5","15","34","27","24","0","1|2|3|4|5","3","1|2|3|4|5","53","35","12","0","0","1|2|3|4|5","4","30","70","1|2","2","60","40","1|2","2","5","2","4","3","2","日本人","日本","日本人","170","Speeder","18-29","0","1","Control","Pass","FL_64","Control"
"38","2022-09-30 15:22:58","2022-09-30 15:28:30","0","100","331","1","2022-09-30 15:28:31","anonymous","JA","0.8999999761581421","1","22","1","1","1","10","7","3","4|3|2|1|5","20","20","40","20","0","4|3|2|1|5","4","4|3|2|1|5","20","20","20","40","0","4|3|2|1|5","2","90","10","2|1","1","90","10","2|1","1","2","2","5","4","2","日本人","日本","日本人","331","Complete","18-29","1","0","Control","Pass","FL_76","Control"
"39","2022-09-30 15:22:01","2022-09-30 15:29:05","0","100","424","1","2022-09-30 15:29:06","anonymous","JA","1","1","34","0","1","1","10","10","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","1","1|2|3|4|5","55","15","14","0","16","1|2|3|4|5","3","40","60","1|2","2","80","20","1|2","2","4","2","5","5","2","日本人","日本","日本人","424","Complete","30-39","0","1","Intervention","Pass","FL_64","Intervention"
"40","2022-09-30 15:17:15","2022-09-30 15:29:07","0","100","712","1","2022-09-30 15:29:08","anonymous","JA","1","1","41","1","1","1","10","5","2","4|3|2|1|5","15","53","12","20","0","4|3|2|1|5","2","4|3|2|1|5","20","32","40","8","0","4|3|2|1|5","2","22","78","2|1","3","29","71","2|1","2","3","2","3","5","2","日本人","日本","日本人","712","Complete","40-49","1","1","Intervention","Pass","FL_63","Intervention"
"41","2022-09-30 15:24:49","2022-09-30 15:30:53","0","100","363","1","2022-09-30 15:30:53","anonymous","JA","0.8999999761581421","1","79","0","1","1","10","10","2","1|2|3|4|5","40","40","10","0","10","1|2|3|4|5","2","1|2|3|4|5","57","36","7","0","0","1|2|3|4|5","4","20","80","1|2","2","73","27","1|2","2","5","2","3","5","1","日本人","日本","日本人","363","Complete","60+","0","0","Intervention","Pass","FL_88","Intervention"
"42","2022-09-30 15:25:17","2022-09-30 15:31:19","0","100","362","1","2022-09-30 15:31:20","anonymous","JA","1","1","51","1","1","1","10","10","1","4|3|2|1|5","50","50","0","0","0","4|3|2|1|5","1","4|3|2|1|5","70","30","0","0","0","4|3|2|1|5","3","40","60","2|1","2","0","100","2|1","4","5","2","3","6","2","日本人","日本","日本人","362","Complete","50-59","1","0","Intervention","Pass","FL_76","Intervention"
"43","2022-09-30 15:27:56","2022-09-30 15:33:05","0","100","308","1","2022-09-30 15:33:06","anonymous","JA","1","1","61","1","1","1","10","8","2","4|3|2|1|5","37","26","9","9","19","4|3|2|1|5","2","4|3|2|1|5","29","25","19","18","9","4|3|2|1|5","2","80","20","2|1","1","70","30","2|1","2","2","2","5","7","2","日本人","日本","日本人","308","Complete","60+","0","1","Control","Pass","FL_64","Control"
"44","2022-09-30 15:25:23","2022-09-30 15:33:51","0","100","508","1","2022-09-30 15:33:51","anonymous","JA","0.699999988079071","1","60","1","1","1","10","10","1","4|3|2|1|5","55","30","10","5","0","4|3|2|1|5","1","4|3|2|1|5","60","25","15","0","0","4|3|2|1|5","5","30","70","2|1","3","40","60","2|1","3","3","2","5","7","1","日本人","日本","日本人","508","Complete","60+","1","1","Control","Pass","FL_63","Control"
"45","2022-09-30 15:28:14","2022-09-30 15:34:17","0","100","363","1","2022-09-30 15:34:18","anonymous","JA","1","1","60","1","1","1","10","10","1","4|3|2|1|5","45","44","0","0","11","4|3|2|1|5","1","4|3|2|1|5","40","41","0","8","11","4|3|2|1|5","4","28","72","2|1","3","53","47","2|1","2","4","2","5","8","1","日本人","日本","日本人","363","Complete","60+","1","0","Intervention","Pass","FL_76","Intervention"
"46","2022-09-30 15:32:32","2022-09-30 15:34:48","0","100","136","1","2022-09-30 15:34:49","anonymous","JA","1","1","28","1","1","1","6","6","5","1|2|3|4|5","25","20","15","15","25","1|2|3|4|5","5","1|2|3|4|5","0","0","0","0","100","1|2|3|4|5","5","0","100","1|2","3","0","100","1|2","3","99","2","5","6","1","日本人","日本","日本人","136","Speeder","18-29","1","1","Intervention","Pass","FL_63","Intervention"
"47","2022-09-30 15:32:17","2022-09-30 15:35:50","0","100","213","1","2022-09-30 15:35:50","anonymous","JA","1","1","50","1","1","1","10","10","4","4|3|2|1|5","0","0","85","15","0","4|3|2|1|5","4","4|3|2|1|5","0","0","21","79","0","4|3|2|1|5","4","37","63","2|1","1","0","100","2|1","1","1","2","5","5","2","日本人","日本","日本人","213","Complete","50-59","1","1","Control","Pass","FL_63","Control"
"48","2022-09-30 15:31:57","2022-09-30 15:35:53","0","100","235","1","2022-09-30 15:35:54","anonymous","JA","1","1","39","0","1","1","10","10","2","1|2|3|4|5","54","0","0","9","37","1|2|3|4|5","1","1|2|3|4|5","71","21","0","0","8","1|2|3|4|5","2","53","47","1|2","2","41","59","1|2","2","99","2","4","5","1","日本人","日本","日本人","235","Complete","30-39","0","1","Control","Pass","FL_64","Control"
"49","2022-09-30 15:31:06","2022-09-30 15:36:37","0","100","331","1","2022-09-30 15:36:38","anonymous","JA","0.8999999761581421","1","60","1","1","1","10","10","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","1","1|2|3|4|5","90","10","0","0","0","1|2|3|4|5","2","50","50","1|2","3","80","20","1|2","2","6","2","5","9","1","日本人","日本","日本人","331","Complete","60+","0","0","Intervention","Pass","FL_88","Intervention"
"50","2022-09-30 15:34:44","2022-09-30 15:36:49","0","100","125","1","2022-09-30 15:36:49","anonymous","JA","1","1","29","0","1","1","10","10","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","6","96","4","1|2","2","80","20","1|2","3","5","2","5","5","2","日本人","日本","日本人","125","Speeder","18-29","0","1","Control","Pass","FL_64","Control"
"51","2022-09-30 15:31:15","2022-09-30 15:37:33","0","100","377","1","2022-09-30 15:37:40","anonymous","JA","0.8999999761581421","1","51","0","1","1","2","10","2","4|3|2|1|5","100","0","0","0","0","4|3|2|1|5","1","4|3|2|1|5","0","78","12","10","0","4|3|2|1|5","2","50","50","2|1","3","100","0","2|1","2","3","2","5","6","1","日本人","日本","日本人","377","Complete","50-59","0","0","Control","Pass","FL_88","Control"
"52","2022-09-30 15:33:39","2022-09-30 15:38:52","0","100","313","1","2022-09-30 15:38:53","anonymous","JA","0.8999999761581421","1","66","1","1","1","10","10","2","1|2|3|4|5","30","33","5","7","25","1|2|3|4|5","2","1|2|3|4|5","28","29","11","11","21","1|2|3|4|5","4","50","50","1|2","3","50","50","1|2","3","5","2","5","5","1","日本人","日本","日本人","313","Complete","60+","0","0","Intervention","Pass","FL_88","Intervention"
"53","2022-09-30 15:35:37","2022-09-30 15:39:39","0","100","241","1","2022-09-30 15:39:39","anonymous","JA","1","1","57","1","1","1","10","10","1","4|3|2|1|5","100","0","0","0","0","4|3|2|1|5","1","4|3|2|1|5","100","0","0","0","0","4|3|2|1|5","2","0","100","2|1","2","100","0","2|1","2","7","2","3","6","1","日本人","日本","日本人","241","Complete","50-59","1","1","Intervention","Pass","FL_63","Intervention"
"54","2022-09-30 15:36:34","2022-09-30 15:40:26","0","100","232","1","2022-09-30 15:40:27","anonymous","JA","0.8999999761581421","1","63","0","1","1","10","10","1","4|3|2|1|5","31","31","38","0","0","4|3|2|1|5","1","4|3|2|1|5","45","55","0","0","0","4|3|2|1|5","2","100","0","2|1","2","100","0","2|1","1","2","2","5","5","1","日本人","日本","日本人","232","Complete","60+","1","0","Control","Pass","FL_76","Control"
"55","2022-09-30 15:35:49","2022-09-30 15:41:58","0","100","369","1","2022-09-30 15:41:59","anonymous","JA","0.8999999761581421","1","54","1","1","1","0","0","1","4|3|2|1|5","35","40","0","0","25","4|3|2|1|5","1","4|3|2|1|5","41","39","12","0","8","4|3|2|1|5","4","30","70","2|1","2","28","72","2|1","3","5","2","5","5","1","日本人","日本","日本人","369","Complete","50-59","0","1","Intervention","Pass","FL_64","Intervention"
"56","2022-09-30 15:30:33","2022-09-30 15:43:21","0","100","767","1","2022-09-30 15:43:22","anonymous","JA","0.8999999761581421","1","49","0","1","1","10","10","2","4|3|2|1|5","50","50","0","0","0","4|3|2|1|5","2","4|3|2|1|5","50","50","0","0","0","4|3|2|1|5","2","20","80","2|1","2","27","73","2|1","2","99","2","5","3","3","日本人","日本","日本人","767","Complete","40-49","1","0","Intervention","Pass","FL_76","Intervention"
"57","2022-09-30 15:40:16","2022-09-30 15:44:04","0","100","227","1","2022-09-30 15:44:04","anonymous","JA","1","1","53","1","1","1","10","5","5","1|2|3|4|5","60","40","0","0","0","1|2|3|4|5","5","1|2|3|4|5","80","20","0","0","0","1|2|3|4|5","4","40","60","1|2","2","50","50","1|2","2","99","2","3","5","3","日本人","日本","日本人","227","Complete","50-59","0","0","Intervention","Pass","FL_88","Intervention"
"58","2022-09-30 15:36:36","2022-09-30 15:44:28","0","100","472","1","2022-09-30 15:44:29","anonymous","JA","1","1","73","1","1","1","10","9","1","1|2|3|4|5","60","40","0","0","0","1|2|3|4|5","1","1|2|3|4|5","60","40","0","0","0","1|2|3|4|5","3","80","20","1|2","2","20","80","1|2","3","5","2","5","7","1","日本人","日本","日本人","472","Complete","60+","0","0","Control","Pass","FL_88","Control"
"59","2022-09-30 15:36:43","2022-09-30 15:44:33","0","100","469","1","2022-09-30 15:44:33","anonymous","JA","0.8999999761581421","1","66","1","1","1","8","8","3","4|3|2|1|5","0","0","0","100","0","4|3|2|1|5","2","4|3|2|1|5","0","0","40","60","0","4|3|2|1|5","1","50","50","2|1","2","50","50","2|1","3","5","2","5","5","2","日本人","日本","日本人","469","Complete","60+","0","1","Control","Pass","FL_64","Control"
