"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Country","Nationality_plural","Q_TotalDuration","Country_n1","Country_n2","Nationality_singular_n1","Nationality_plural_n1","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO"
"11","2022-09-23 19:34:40","2022-09-23 19:41:56","0","100","435","1","2022-09-23 19:41:56","anonymous","PL","1","1","50","0","1","1","7","7","3","4|3|2|1|5","6","18","5","6","65","4|3|2|1|5","5","4|3|2|1|5","29","24","25","15","7","4|3|2|1|5","4","59","41","2|1","3","49","51","2|1","3","5","2","3","5","1","Polak/Polka","Polska","Polacy","435","Polski","Polsce","Polakiem/Polką","Polaków","Complete","50-59","1","0","Intervention","Pass","FL_76","Intervention"
"12","2022-09-23 20:01:52","2022-09-23 20:06:04","0","100","251","1","2022-09-23 20:06:06","anonymous","PL","1","1","32","0","1","1","10","5","1","1|2|3|4|5","19","32","11","3","35","1|2|3|4|5","1","1|2|3|4|5","39","24","18","9","10","1|2|3|4|5","4","30","70","1|2","4","60","40","1|2","4","7","2","6","2","1","Polak/Polka","Polska","Polacy","251","Polski","Polsce","Polakiem/Polką","Polaków","Complete","30-39","1","1","Control","Pass","FL_63","Control"
"13","2022-09-23 20:10:09","2022-09-23 20:13:47","0","100","217","1","2022-09-23 20:13:47","anonymous","PL","1","1","67","1","1","1","10","10","2","1|2|3|4|5","49","51","0","0","0","1|2|3|4|5","3","1|2|3|4|5","51","49","0","0","0","1|2|3|4|5","6","33","67","1|2","3","54","46","1|2","3","7","2","4","9","1","Polak/Polka","Polska","Polacy","217","Polski","Polsce","Polakiem/Polką","Polaków","Complete","60+","0","1","Control","Pass","FL_64","Control"
"14","2022-09-23 20:11:50","2022-09-23 20:17:27","0","100","337","1","2022-09-23 20:17:28","anonymous","PL","1","1","58","1","1","1","7","7","1","1|2|3|4|5","60","20","15","3","2","1|2|3|4|5","1","1|2|3|4|5","70","21","5","4","0","1|2|3|4|5","6","80","20","1|2","3","72","28","1|2","3","5","2","5","5","1","Polak/Polka","Polska","Polacy","337","Polski","Polsce","Polakiem/Polką","Polaków","Complete","50-59","1","0","Intervention","Pass","FL_76","Intervention"
"15","2022-09-23 20:16:41","2022-09-23 20:20:28","0","100","226","1","2022-09-23 20:20:28","anonymous","PL","0.8999999761581421","1","66","1","1","1","10","10","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","7","100","0","1|2","4","100","0","1|2","4","7","2","4","7","1","Polak/Polka","Polska","Polacy","226","Polski","Polsce","Polakiem/Polką","Polaków","Complete","60+","0","0","Intervention","Pass","FL_88","Intervention"
"16","2022-09-23 20:20:28","2022-09-23 20:37:16","0","100","1008","1","2022-09-23 20:37:17","anonymous","PL","","1","47","1","1","1","10","10","2","1|2|3|4|5","42","28","10","20","0","1|2|3|4|5","2","1|2|3|4|5","43","38","19","0","0","1|2|3|4|5","5","86","14","1|2","3","28","72","1|2","3","6","2","4","5","1","Polak/Polka","Polska","Polacy","1008","Polski","Polsce","Polakiem/Polką","Polaków","Complete","40-49","1","1","Control","Pass","FL_63","Control"
"17","2022-09-23 21:06:17","2022-09-23 21:14:55","0","100","518","1","2022-09-23 21:14:57","anonymous","PL","1","1","28","0","1","1","10","8","2","1|2|3|4|5","9","32","59","0","0","1|2|3|4|5","1","1|2|3|4|5","38","61","1","0","0","1|2|3|4|5","4","86","14","1|2","3","78","22","1|2","3","3","2","5","8","1","Polak/Polka","Polska","Polacy","518","Polski","Polsce","Polakiem/Polką","Polaków","Complete","18-29","0","1","Control","Pass","FL_64","Control"
"18","2022-09-23 21:50:55","2022-09-23 22:01:23","0","100","627","1","2022-09-23 22:01:24","anonymous","PL","1","1","25","0","1","1","9","7","2","1|2|3|4|5","33","63","4","0","0","1|2|3|4|5","1","1|2|3|4|5","58","32","0","0","10","1|2|3|4|5","3","50","50","1|2","3","30","70","1|2","2","3","2","5","3","1","Polak/Polka","Polska","Polacy","627","Polski","Polsce","Polakiem/Polką","Polaków","Complete","18-29","1","0","Intervention","Pass","FL_76","Intervention"
"19","2022-09-23 22:19:25","2022-09-23 22:37:23","0","100","1077","1","2022-09-23 22:37:25","anonymous","PL","1","1","45","0","1","1","10","10","2","4|3|2|1|5","0","0","0","0","100","4|3|2|1|5","2","4|3|2|1|5","0","34","0","66","0","4|3|2|1|5","4","17","83","2|1","3","80","20","2|1","2","2","2","6","8","1","Polak/Polka","Polska","Polacy","1077","Polski","Polsce","Polakiem/Polką","Polaków","Complete","40-49","0","0","Control","Pass","FL_88","Control"
"20","2022-09-23 22:55:46","2022-09-23 22:57:11","0","100","85","1","2022-09-23 22:57:12","anonymous","PL","0.8999999761581421","1","24","1","1","1","10","10","2","1|2|3|4|5","58","0","42","0","0","1|2|3|4|5","2","1|2|3|4|5","67","33","0","0","0","1|2|3|4|5","5","63","37","1|2","3","32","68","1|2","3","6","2","5","5","1","Polak/Polka","Polska","Polacy","85","Polski","Polsce","Polakiem/Polką","Polaków","Speeder","18-29","0","0","Intervention","Pass","FL_88","Intervention"
"21","2022-09-24 02:31:36","2022-09-24 02:35:21","0","100","224","1","2022-09-24 02:35:22","anonymous","PL","1","1","54","1","1","1","10","10","2","1|2|3|4|5","71","29","0","0","0","1|2|3|4|5","2","1|2|3|4|5","50","50","0","0","0","1|2|3|4|5","4","20","80","1|2","3","20","80","1|2","2","6","2","4","10","2","Polak/Polka","Polska","Polacy","224","Polski","Polsce","Polakiem/Polką","Polaków","Complete","50-59","1","1","Control","Pass","FL_63","Control"
"22","2022-09-24 07:03:41","2022-09-24 07:12:35","0","100","533","1","2022-09-24 07:12:36","anonymous","PL","1","1","50","0","1","1","3","2","1","1|2|3|4|5","13","18","42","27","0","1|2|3|4|5","2","1|2|3|4|5","15","23","40","10","12","1|2|3|4|5","4","63","37","1|2","4","49","51","1|2","4","5","2","4","5","1","Polak/Polka","Polska","Polacy","533","Polski","Polsce","Polakiem/Polką","Polaków","Complete","50-59","1","0","Intervention","Pass","FL_76","Intervention"
"23","2022-09-24 08:35:28","2022-09-24 08:40:10","0","100","282","1","2022-09-24 08:40:10","anonymous","PL","1","1","41","0","1","1","10","8","2","1|2|3|4|5","18","70","2","10","0","1|2|3|4|5","1","1|2|3|4|5","71","21","0","8","0","1|2|3|4|5","5","71","29","1|2","2","74","26","1|2","2","5","2","4","3","1","Polak/Polka","Polska","Polacy","282","Polski","Polsce","Polakiem/Polką","Polaków","Complete","40-49","1","1","Intervention","Pass","FL_63","Intervention"
"24","2022-09-24 09:02:47","2022-09-24 09:06:24","0","100","217","1","2022-09-24 09:06:25","anonymous","PL","1","1","57","1","1","1","0","0","1","4|3|2|1|5","34","7","24","30","5","4|3|2|1|5","1","4|3|2|1|5","37","3","35","24","1","4|3|2|1|5","5","38","62","2|1","3","51","49","2|1","3","4","2","6","10","1","Polak/Polka","Polska","Polacy","217","Polski","Polsce","Polakiem/Polką","Polaków","Complete","50-59","0","1","Control","Pass","FL_64","Control"
"25","2022-09-24 09:15:55","2022-09-24 09:18:43","0","100","167","1","2022-09-24 09:18:44","anonymous","PL","1","1","50","0","1","1","5","10","1","1|2|3|4|5","96","3","1","0","0","1|2|3|4|5","1","1|2|3|4|5","74","0","26","0","0","1|2|3|4|5","7","90","10","1|2","3","82","18","1|2","3","7","2","5","6","1","Polak/Polka","Polska","Polacy","167","Polski","Polsce","Polakiem/Polką","Polaków","Speeder","50-59","1","0","Intervention","Pass","FL_76","Intervention"
"26","2022-09-24 10:01:58","2022-09-24 10:12:10","0","100","611","1","2022-09-24 10:12:11","anonymous","PL","1","1","73","0","1","1","10","10","2","4|3|2|1|5","30","18","15","25","12","4|3|2|1|5","1","4|3|2|1|5","0","9","51","30","10","4|3|2|1|5","5","71","29","2|1","4","55","45","2|1","3","6","2","6","7","1","Polak/Polka","Polska","Polacy","611","Polski","Polsce","Polakiem/Polką","Polaków","Complete","60+","0","0","Control","Pass","FL_88","Control"
"27","2022-09-24 10:36:43","2022-09-24 10:42:37","0","100","353","1","2022-09-24 10:42:39","anonymous","PL","1","1","20","0","1","1","10","5","1","1|2|3|4|5","20","30","25","15","10","1|2|3|4|5","1","1|2|3|4|5","15","15","40","10","20","1|2|3|4|5","5","60","40","1|2","4","40","60","1|2","4","3","2","3","5","1","Polak/Polka","Polska","Polacy","353","Polski","Polsce","Polakiem/Polką","Polaków","Complete","18-29","1","1","Control","Pass","FL_63","Control"
"28","2022-09-24 11:20:47","2022-09-24 11:26:52","0","100","365","1","2022-09-24 11:26:52","anonymous","PL","1","1","34","1","1","1","10","5","1","4|3|2|1|5","52","48","0","0","0","4|3|2|1|5","1","4|3|2|1|5","0","30","20","0","50","4|3|2|1|5","6","53","47","2|1","4","49","51","2|1","3","6","2","4","4","1","Polak/Polka","Polska","Polacy","365","Polski","Polsce","Polakiem/Polką","Polaków","Complete","30-39","0","0","Intervention","Pass","FL_88","Intervention"
"29","2022-09-24 10:49:39","2022-09-24 12:37:31","0","100","6471","1","2022-09-24 12:37:31","anonymous","PL","0.8999999761581421","1","46","0","1","1","9","7","1","4|3|2|1|5","0","82","15","3","0","4|3|2|1|5","1","4|3|2|1|5","0","30","0","0","70","4|3|2|1|5","4","27","73","2|1","3","69","31","2|1","3","6","2","6","5","1","Polak/Polka","Polska","Polacy","6471","Polski","Polsce","Polakiem/Polką","Polaków","Complete","40-49","0","1","Intervention","Pass","FL_64","Intervention"
"30","2022-09-24 13:36:38","2022-09-24 13:47:41","0","100","662","1","2022-09-24 13:47:41","anonymous","PL","0.8999999761581421","1","33","1","1","1","10","8","2","1|2|3|4|5","21","42","28","0","9","1|2|3|4|5","2","1|2|3|4|5","18","41","29","0","12","1|2|3|4|5","4","70","30","1|2","4","72","28","1|2","3","6","2","6","1","1","Polak/Polka","Polska","Polacy","662","Polski","Polsce","Polakiem/Polką","Polaków","Complete","30-39","0","1","Control","Pass","FL_64","Control"
"31","2022-09-24 13:43:59","2022-09-24 13:58:07","0","100","847","1","2022-09-24 13:58:08","anonymous","PL","1","1","35","0","1","1","5","5","2","4|3|2|1|5","15","20","0","65","0","4|3|2|1|5","2","4|3|2|1|5","0","0","0","0","100","4|3|2|1|5","5","100","0","2|1","3","20","80","2|1","3","6","2","6","3","1","Polak/Polka","Polska","Polacy","847","Polski","Polsce","Polakiem/Polką","Polaków","Complete","30-39","1","0","Intervention","Pass","FL_76","Intervention"
"32","2022-09-24 13:56:04","2022-09-24 13:59:09","0","100","184","1","2022-09-24 13:59:09","anonymous","PL","1","1","26","1","1","1","8","9","3","4|3|2|1|5","20","20","25","10","25","4|3|2|1|5","1","4|3|2|1|5","22","17","6","12","43","4|3|2|1|5","6","31","69","2|1","4","48","52","2|1","4","6","2","4","4","2","Polak/Polka","Polska","Polacy","184","Polski","Polsce","Polakiem/Polką","Polaków","Complete","18-29","0","0","Control","Pass","FL_88","Control"
"33","2022-09-24 14:09:18","2022-09-24 14:12:32","0","100","194","1","2022-09-24 14:12:32","anonymous","PL","","1","44","1","1","1","10","10","2","4|3|2|1|5","0","0","29","71","0","4|3|2|1|5","2","4|3|2|1|5","0","100","0","0","0","4|3|2|1|5","6","49","51","2|1","4","9","91","2|1","3","7","2","7","7","1","Polak/Polka","Polska","Polacy","194","Polski","Polsce","Polakiem/Polką","Polaków","Complete","40-49","1","1","Intervention","Pass","FL_63","Intervention"
"34","2022-09-24 14:18:38","2022-09-24 14:22:08","0","100","210","1","2022-09-24 14:22:10","anonymous","PL","1","1","42","0","1","1","10","10","5","4|3|2|1|5","0","6","49","45","0","4|3|2|1|5","5","4|3|2|1|5","0","30","24","43","3","4|3|2|1|5","5","44","56","2|1","3","50","50","2|1","3","99","2","3","5","1","Polak/Polka","Polska","Polacy","210","Polski","Polsce","Polakiem/Polką","Polaków","Complete","40-49","1","1","Control","Pass","FL_63","Control"
"35","2022-09-24 15:22:18","2022-09-24 15:25:10","0","100","172","1","2022-09-24 15:25:10","anonymous","PL","1","1","29","1","1","1","9","8","1","1|2|3|4|5","48","45","0","7","0","1|2|3|4|5","1","1|2|3|4|5","58","42","0","0","0","1|2|3|4|5","5","53","47","1|2","2","50","50","1|2","2","5","2","4","4","1","Polak/Polka","Polska","Polacy","172","Polski","Polsce","Polakiem/Polką","Polaków","Speeder","18-29","1","0","Intervention","Pass","FL_76","Intervention"
"36","2022-09-24 15:41:38","2022-09-24 15:46:57","0","100","318","1","2022-09-24 15:46:57","anonymous","PL","0.8999999761581421","1","33","0","1","1","10","6","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","7","56","44","1|2","4","52","48","1|2","4","6","2","4","0","1","Polak/Polka","Polska","Polacy","318","Polski","Polsce","Polakiem/Polką","Polaków","Complete","30-39","0","0","Control","Pass","FL_88","Control"
"37","2022-09-24 15:54:37","2022-09-24 15:58:16","0","100","218","1","2022-09-24 15:58:18","anonymous","PL","1","1","53","0","1","1","10","10","2","1|2|3|4|5","60","40","0","0","0","1|2|3|4|5","2","1|2|3|4|5","73","27","0","0","0","1|2|3|4|5","4","29","71","1|2","2","62","38","1|2","2","4","2","4","9","1","Polak/Polka","Polska","Polacy","218","Polski","Polsce","Polakiem/Polką","Polaków","Complete","50-59","0","1","Control","Pass","FL_64","Control"
"38","2022-09-24 16:13:51","2022-09-24 16:22:37","0","100","526","1","2022-09-24 16:22:39","anonymous","PL","1","1","37","1","1","1","10","10","1","1|2|3|4|5","79","15","6","0","0","1|2|3|4|5","2","1|2|3|4|5","37","38","8","0","17","1|2|3|4|5","5","64","36","1|2","2","30","70","1|2","1","3","2","6","7","2","Polak/Polka","Polska","Polacy","526","Polski","Polsce","Polakiem/Polką","Polaków","Complete","30-39","1","1","Intervention","Pass","FL_63","Intervention"
"39","2022-09-24 10:09:18","2022-09-24 19:18:53","0","100","32975","1","2022-09-24 19:18:54","anonymous","PL","1","1","43","1","1","1","4","7","1","1|2|3|4|5","43","57","0","0","0","1|2|3|4|5","5","1|2|3|4|5","35","20","43","2","0","1|2|3|4|5","3","35","65","1|2","3","45","55","1|2","3","5","2","6","1","1","Polak/Polka","Polska","Polacy","32975","Polski","Polsce","Polakiem/Polką","Polaków","Complete","40-49","1","0","Control","Pass","FL_76","Control"
"40","2022-09-24 20:05:13","2022-09-24 20:11:14","0","100","360","1","2022-09-24 20:11:14","anonymous","PL","1","1","33","0","1","1","9","10","2","1|2|3|4|5","46","54","0","0","0","1|2|3|4|5","2","1|2|3|4|5","66","34","0","0","0","1|2|3|4|5","3","22","78","1|2","3","55","45","1|2","2","4","2","6","9","2","Polak/Polka","Polska","Polacy","360","Polski","Polsce","Polakiem/Polką","Polaków","Complete","30-39","0","0","Intervention","Pass","FL_88","Intervention"
"41","2022-09-24 21:03:17","2022-09-24 21:09:58","0","100","400","1","2022-09-24 21:09:58","anonymous","PL","0.8999999761581421","1","56","0","1","1","10","7","2","1|2|3|4|5","30","60","10","0","0","1|2|3|4|5","2","1|2|3|4|5","19","63","11","0","7","1|2|3|4|5","3","82","18","1|2","2","50","50","1|2","2","4","2","6","3","1","Polak/Polka","Polska","Polacy","400","Polski","Polsce","Polakiem/Polką","Polaków","Complete","50-59","1","0","Intervention","Pass","FL_76","Intervention"
"42","2022-09-24 21:53:28","2022-09-24 21:58:44","0","100","315","1","2022-09-24 21:58:44","anonymous","PL","1","1","60","0","1","1","10","9","2","4|3|2|1|5","0","52","41","7","0","4|3|2|1|5","2","4|3|2|1|5","10","21","22","37","10","4|3|2|1|5","4","67","33","2|1","3","34","66","2|1","3","7","2","5","5","1","Polak/Polka","Polska","Polacy","315","Polski","Polsce","Polakiem/Polką","Polaków","Complete","60+","0","1","Control","Pass","FL_64","Control"
"43","2022-09-24 22:02:14","2022-09-24 22:06:42","0","100","268","1","2022-09-24 22:06:43","anonymous","PL","1","1","37","0","1","1","10","10","2","4|3|2|1|5","32","13","44","2","9","4|3|2|1|5","3","4|3|2|1|5","15","30","18","6","31","4|3|2|1|5","7","24","76","2|1","3","63","37","2|1","3","6","2","5","5","1","Polak/Polka","Polska","Polacy","268","Polski","Polsce","Polakiem/Polką","Polaków","Complete","30-39","0","1","Intervention","Pass","FL_64","Intervention"
"44","2022-09-25 10:02:26","2022-09-25 10:14:30","0","100","724","1","2022-09-25 10:14:31","anonymous","PL","1","1","55","1","1","1","6","6","2","1|2|3|4|5","27","26","45","1","1","1|2|3|4|5","2","1|2|3|4|5","58","0","0","0","42","1|2|3|4|5","4","34","66","1|2","3","58","42","1|2","2","6","2","4","5","1","Polak/Polka","Polska","Polacy","724","Polski","Polsce","Polakiem/Polką","Polaków","Complete","50-59","1","1","Control","Pass","FL_63","Control"
"45","2022-09-29 11:14:46","2022-09-29 11:17:58","0","100","192","1","2022-09-29 11:17:58","anonymous","PL","1","1","58","1","1","1","4","9","2","4|3|2|1|5","10","22","21","20","27","4|3|2|1|5","3","4|3|2|1|5","35","25","23","17","0","4|3|2|1|5","4","60","40","2|1","3","42","58","2|1","3","3","2","5","10","2","Polak/Polka","Polska","Polacy","192","Polski","Polsce","Polakiem/Polką","Polaków","Complete","50-59","1","0","Control","Pass","FL_76","Control"
"46","2022-09-29 11:12:33","2022-09-29 11:18:49","0","100","376","1","2022-09-29 11:18:49","anonymous","PL","1","1","60","1","1","1","10","10","2","1|2|3|4|5","20","12","51","17","0","1|2|3|4|5","2","1|2|3|4|5","33","67","0","0","0","1|2|3|4|5","5","41","59","1|2","3","48","52","1|2","3","6","2","4","10","2","Polak/Polka","Polska","Polacy","376","Polski","Polsce","Polakiem/Polką","Polaków","Complete","60+","1","0","Intervention","Pass","FL_76","Intervention"
"47","2022-09-29 11:15:38","2022-09-29 11:22:12","0","100","393","1","2022-09-29 11:22:12","anonymous","PL","1","1","59","1","1","1","10","10","5","4|3|2|1|5","15","15","10","30","30","4|3|2|1|5","5","4|3|2|1|5","30","15","15","30","10","4|3|2|1|5","7","0","100","2|1","3","20","80","2|1","3","6","2","4","9","2","Polak/Polka","Polska","Polacy","393","Polski","Polsce","Polakiem/Polką","Polaków","Complete","50-59","0","1","Intervention","Pass","FL_64","Intervention"
"48","2022-09-29 11:16:19","2022-09-29 11:22:33","0","100","374","1","2022-09-29 11:22:33","anonymous","PL","1","1","56","1","1","1","10","10","1","1|2|3|4|5","10","10","10","30","40","1|2|3|4|5","1","1|2|3|4|5","10","3","2","15","70","1|2|3|4|5","1","85","15","1|2","4","99","1","1|2","4","7","2","5","6","1","Polak/Polka","Polska","Polacy","374","Polski","Polsce","Polakiem/Polką","Polaków","Complete","50-59","1","1","Control","Pass","FL_63","Control"
"49","2022-09-29 11:20:01","2022-09-29 11:25:47","0","100","346","1","2022-09-29 11:25:48","anonymous","PL","1","1","67","1","1","1","10","10","2","1|2|3|4|5","25","10","3","3","59","1|2|3|4|5","2","1|2|3|4|5","9","3","4","3","81","1|2|3|4|5","5","61","39","1|2","3","56","44","1|2","2","3","2","6","8","2","Polak/Polka","Polska","Polacy","346","Polski","Polsce","Polakiem/Polką","Polaków","Complete","60+","0","0","Intervention","Pass","FL_88","Intervention"
"50","2022-09-29 11:21:07","2022-09-29 11:26:31","0","100","323","1","2022-09-29 11:26:32","anonymous","PL","1","1","70","1","1","1","10","10","1","4|3|2|1|5","25","30","20","20","5","4|3|2|1|5","1","4|3|2|1|5","25","25","20","10","20","4|3|2|1|5","5","28","72","2|1","4","70","30","2|1","3","5","2","6","5","1","Polak/Polka","Polska","Polacy","323","Polski","Polsce","Polakiem/Polką","Polaków","Complete","60+","1","1","Control","Pass","FL_63","Control"
"51","2022-09-29 11:19:54","2022-09-29 11:26:43","0","100","408","1","2022-09-29 11:26:43","anonymous","PL","1","1","79","1","1","1","9","7","1","1|2|3|4|5","30","0","28","0","42","1|2|3|4|5","1","1|2|3|4|5","34","25","0","0","41","1|2|3|4|5","5","60","40","1|2","3","20","80","1|2","4","4","2","6","5","2","Polak/Polka","Polska","Polacy","408","Polski","Polsce","Polakiem/Polką","Polaków","Complete","60+","0","1","Intervention","Pass","FL_64","Intervention"
"52","2022-09-29 11:13:14","2022-09-29 11:27:11","0","100","836","1","2022-09-29 11:27:11","anonymous","PL","1","1","57","1","1","1","10","5","1","1|2|3|4|5","30","30","22","8","10","1|2|3|4|5","1","1|2|3|4|5","30","17","30","13","10","1|2|3|4|5","1","28","72","1|2","4","38","62","1|2","4","7","2","6","5","1","Polak/Polka","Polska","Polacy","836","Polski","Polsce","Polakiem/Polką","Polaków","Complete","50-59","0","0","Control","Pass","FL_88","Control"
